name,display_name,description,parent,concept_type,min,max,unit,deleted
demographic,Demographics,,root,hierarchical,,,,0
medhist,Medical History,,root,hierarchical,,,,0
vitalsign,Vital Signs,,root,hierarchical,,,,0
behavioralgds,Behavioral Assessment - Geriatric Depression Scale,,root,hierarchical,,,,0
modifiedhis,Modified Hachinski,,root,hierarchical,,,,0
neuropathology,Neuropathology,,root,hierarchical,,,,0
nbscores,Neuropsychological Battery Scores,,root,hierarchical,,,,0
npiq,Neuropsychiatric Inventory Questionnaire (NPI-Q),,root,hierarchical,,,,0
fuctionscale,Functional Assessment Scale,,root,hierarchical,,,,0
imaging,Imaging,,root,hierarchical,,,,0
strokesum,Stroke Summary,,root,hierarchical,,,,0
amyloidpet,Amyloid PET Scan Information,,root,hierarchical,,,,0
totalcranial,Total Cranial Vault Segmentation,,root,hierarchical,,,,0
clinicaldiagnosis,Clinician Diagnosis,,root,hierarchical,,,,0
residence,Type of residence,,demographic,categorical,,,,0
marital,Marital status,,demographic,categorical,,,,0
education,Years of education,,demographic,numerical,,36,,0
birthmonth,Month of birth,,demographic,numerical,1,12,,0
birthyear,Year of birth,,demographic,numerical,1875,2007,,0
languagepri,Primary language,,demographic,categorical,,,,0
packssmoked,Average number of packs smoked per day,,medhist,categorical,,,,0
neuroconother,Other neurological condition,,medhist,categorical,,,,0
systolic,Seated Blood Pressure: Systolic,,vitalsign,numerical,70,230,mmHg,0
diastolic,Seated Blood Pressure: Diastolic,,vitalsign,numerical,30,140,mmHg,0
badhappen,Are you afraid that something bad is going to happen to you?,,behavioralgds,categorical,,,,0
preferhome,"Do you prefer to stay at home, rather than going out and doing new things?",,behavioralgds,categorical,,,,0
betteroff,Do you think that most people are better off than you are?,,behavioralgds,categorical,,,,0
memory,Do you feel you have more problems with memory than most?,,behavioralgds,categorical,,,,0
worthless,Do you feel pretty worthless the way you are now?,,behavioralgds,categorical,,,,0
dropactivities,Have you dropped many of your activities and interests?,,behavioralgds,categorical,,,,0
empty,Do you feel that your life is empty?,,behavioralgds,categorical,,,,0
goodspirits,Are you in good spirits most of the time?,,behavioralgds,categorical,,,,0
situationhopeless,Do you feel that your situation is hopeless?,,behavioralgds,categorical,,,,0
feelhappy,Do you feel happy most of the time?,,behavioralgds,categorical,,,,0
satisfied,Are you basically satisfied with your life?,,behavioralgds,categorical,,,,0
energy,Do you feel full of energy?,,behavioralgds,categorical,,,,0
bored,Do you often get bored?,,behavioralgds,categorical,,,,0
