domain_id,value,display_name,description
adinsuffcon_adni,1,Yes,
adinsuffcon_adni,2,No,
adinsuffcon_nacc,1,Yes,
adinsuffcon_nacc,2,No,
adinsuffcon_hmn,1,Yes,
adinsuffcon_hmn,2,No,
adinsuffpri_adni,1,Yes,
adinsuffpri_adni,2,No,
adinsuffpri_nacc,1,Yes,
adinsuffpri_nacc,2,No,
adinsuffpri_hmn,1,Yes,
adinsuffpri_hmn,2,No,
adrdakhach_adni,1,Alzheimer's Disease,
adrdakhach_adni,2,Criteria Not Met,
adrdakhach_adni,3,Not Done,
adrdakhach_adni,9,Missing/Unknown,
adrdakhach_nacc,1,Alzheimer's disease,
adrdakhach_nacc,2,Criteria not met,
adrdakhach_nacc,3,Not done,
adrdakhach_nacc,9,Missing/Unknown,
adrdakhach_hmn,1,Alzheimer's disease,
adrdakhach_hmn,2,Criteria not met,
adrdakhach_hmn,3,Not done,
adrdakhach_hmn,9,Missing/Unknown,
agitaggrese_adni,1,"1 - Mild (noticeable, but not a significant change).",
agitaggrese_adni,2,"2 - Moderate (significant, but not a dramatic change).",
agitaggrese_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
agitaggrese_nacc,1,"Mild (noticeable, but not a significant change)",
agitaggrese_nacc,2,"Moderate (significant, but not a dramatic change)",
agitaggrese_nacc,3,Severe (very marked or prominent; a dramatic change),
agitaggrese_nacc,8,"Not applicable, no delusions reported",
agitaggrese_nacc,9,Unknown,
agitaggrese_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
agitaggrese_hmn,1,"Mild (noticeable, but not a significant change)",
agitaggrese_hmn,2,"Moderate (significant, but not a dramatic change)",
agitaggrese_hmn,3,Severe (very marked or prominent; a dramatic change),
agitaggrese_hmn,8,"Not applicable, no delusions reported",
agitaggrese_hmn,9,Unknown,
agitaggrese_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
alive_adni,1,Yes,
alive_adni,0,No,
alive_nacc,0,No,
alive_nacc,1,Yes,
alive_nacc,9,Did not answer,
alive_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
alive_hmn,0,No,
alive_hmn,1,Yes,
alive_hmn,9,Did not answer,
alive_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
amyradio_adni,1,Florbetaben (Neuraceq),
amyradio_adni,2,Florbetapir (Amyvid),
amyradio_nacc,1,PIB,
amyradio_nacc,2,Florbetapir,
amyradio_nacc,3,Florbetaben,
amyradio_nacc,4,Flutemetemol,
amyradio_nacc,8,Not applicable / no amyloid PET scan available,
amyradio_nacc,9,Missing / unknown,
amyradio_hmn,1,PIB,
amyradio_hmn,2,Florbetapir (Amyvid),
amyradio_hmn,3,Florbetaben (Neuraceq),
amyradio_hmn,4,Flutemetemol,
amyradio_hmn,8,Not applicable / no amyloid PET scan available,
amyradio_hmn,9,Missing / unknown,
anxietyse_adni,1,"1 - Mild (noticeable, but not a significant change).",
anxietyse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
anxietyse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
anxietyse_nacc,1,"Mild (noticeable, but not a significant change)",
anxietyse_nacc,2,"Moderate (significant, but not a dramatic change)",
anxietyse_nacc,3,Severe (very marked or prominent; a dramatic change),
anxietyse_nacc,8,"Not applicable, no delusions reported",
anxietyse_nacc,9,Unknown,
anxietyse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
anxietyse_hmn,1,"Mild (noticeable, but not a significant change)",
anxietyse_hmn,2,"Moderate (significant, but not a dramatic change)",
anxietyse_hmn,3,Severe (very marked or prominent; a dramatic change),
anxietyse_hmn,8,"Not applicable, no delusions reported",
anxietyse_hmn,9,Unknown,
anxietyse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
apatindiffese_adni,1,"1 - Mild (noticeable, but not a significant change).",
apatindiffese_adni,2,"2 - Moderate (significant, but not a dramatic change).",
apatindiffese_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
apatindiffese_nacc,1,"Mild (noticeable, but not a significant change)",
apatindiffese_nacc,2,"Moderate (significant, but not a dramatic change)",
apatindiffese_nacc,3,Severe (very marked or prominent; a dramatic change),
apatindiffese_nacc,8,"Not applicable, no delusions reported",
apatindiffese_nacc,9,Unknown,
apatindiffese_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
apatindiffese_hmn,1,"Mild (noticeable, but not a significant change)",
apatindiffese_hmn,2,"Moderate (significant, but not a dramatic change)",
apatindiffese_hmn,3,Severe (very marked or prominent; a dramatic change),
apatindiffese_hmn,8,"Not applicable, no delusions reported",
apatindiffese_hmn,9,Unknown,
