variable_domain_id,variable_domain_value,concept_domain_id,concept_domain_value
amyradio_adni,1,amyradio_hmn,3
assembletax_adni,1,assembletax_hmn,4
assembletax_adni,2,assembletax_hmn,5
assembletax_adni,3,assembletax_hmn,1
assembletax_adni,4,assembletax_hmn,2
assembletax_adni,5,assembletax_hmn,3
atherwills_nacc,0,atherwills_hmn,1
atherwills_nacc,1,atherwills_hmn,2
atherwills_nacc,2,atherwills_hmn,3
atherwills_nacc,3,atherwills_hmn,4
atherwills_nacc,8,atherwills_hmn,5
bankcsf_adni,2,bankcsf_hmn,0
bankedfrozen_adni,2,bankedfrozen_hmn,0
braakb_adni,7,braakb_hmn,10
formapara_adni,2,formapara_hmn,0
ftldcbd_adni,2,ftldcbd_hmn,0
ftldcbd_adni,3,ftldcbd_hmn,8
ftldpick_adni,2,ftldpick_hmn,0
ftldpick_adni,3,ftldpick_hmn,8
ftldpsp_adni,2,ftldpsp_hmn,0
ftldpsp_adni,3,ftldpsp_hmn,8
heatwater_adni,1,heatwater_hmn,4
heatwater_adni,2,heatwater_hmn,5
heatwater_adni,3,heatwater_hmn,1
heatwater_adni,4,heatwater_hmn,2
heatwater_adni,5,heatwater_hmn,3
ischemvas_nacc,0,ischemvas_hmn,2
ischemvas_nacc,1,ischemvas_hmn,4
keeptrack_adni,1,keeptrack_hmn,4
keeptrack_adni,2,keeptrack_hmn,5
keeptrack_adni,3,keeptrack_hmn,1
keeptrack_adni,4,keeptrack_hmn,2
keeptrack_adni,5,keeptrack_hmn,3
languagepri_adni,3,languagepri_hmn,8
marital_adni,4,marital_hmn,5
marital_adni,5,marital_hmn,9
neuroconother_adni,1,neuroconother_hmn,3
neuroconother_adni,0,neuroconother_hmn,4
othpathologic_adni,2,othpathologic_hmn,0
othpathologic_adni,3,othpathologic_hmn,8
paraffin_adni,2,paraffin_hmn,0
payatten_adni,1,payatten_hmn,4
payatten_adni,2,payatten_hmn,5
payatten_adni,3,payatten_hmn,1
payatten_adni,4,payatten_hmn,2
payatten_adni,5,payatten_hmn,3
playgameskill_adni,1,playgameskill_hmn,4
playgameskill_adni,2,playgameskill_hmn,5
playgameskill_adni,3,playgameskill_hmn,1
playgameskill_adni,4,playgameskill_hmn,2
playgameskill_adni,5,playgameskill_hmn,3
prepmeal_adni,1,prepmeal_hmn,4
prepmeal_adni,2,prepmeal_hmn,5
prepmeal_adni,3,prepmeal_hmn,1
prepmeal_adni,4,prepmeal_hmn,2
prepmeal_adni,5,prepmeal_hmn,3
rememappoint_adni,1,rememappoint_hmn,4
rememappoint_adni,2,rememappoint_hmn,5
rememappoint_adni,3,rememappoint_hmn,1
rememappoint_adni,4,rememappoint_hmn,2
rememappoint_adni,5,rememappoint_hmn,3
residence_adni,1,residence_hmn,5
residence_adni,2,residence_hmn,6
residence_adni,3,residence_hmn,7
residence_adni,4,residence_hmn,8
residence_adni,5,residence_hmn,2
residence_adni,6,residence_hmn,3
residence_adni,7,residence_hmn,4
residence_adni,8,residence_hmn,9
shopalone_adni,1,shopalone_hmn,4
shopalone_adni,2,shopalone_hmn,5
shopalone_adni,3,shopalone_hmn,1
shopalone_adni,4,shopalone_hmn,2
shopalone_adni,5,shopalone_hmn,3
travelingout_adni,1,travelingout_hmn,4
travelingout_adni,2,travelingout_hmn,5
travelingout_adni,3,travelingout_hmn,1
travelingout_adni,4,travelingout_hmn,2
travelingout_adni,5,travelingout_hmn,3
writecheck_adni,1,writecheck_hmn,4
writecheck_adni,2,writecheck_hmn,5
writecheck_adni,3,writecheck_hmn,1
writecheck_adni,4,writecheck_hmn,2
writecheck_adni,5,writecheck_hmn,3
